t,X_1,X_2,X_3
446.25,2092982.32267244,2455.76805778141,0
446.5,2095476.77026937,2455.74349508076,0
446.75,2097970.92017894,2455.71893261965,0
447,2100464.76466164,2455.6943703981,0
447.25,2102958.29598175,2455.6698084161,0
447.5,2105451.50640747,2455.64524667364,0
447.75,2107944.38821098,2455.62068517073,0
448,2110436.93366859,2455.59612390736,0
448.25,2112929.13506075,2455.57156288354,0
448.5,2115420.98467218,2455.54700209925,0
448.75,2117912.47479203,2455.52244155451,0
449,2120403.59771391,2455.49788124931,0
449.25,2122894.34573596,2455.47332118364,0
449.5,2125384.711161,2455.44876135751,0
449.75,2127874.6862966,2455.42420177092,0
450,2130364.26345521,2455.39964242385,0
450.25,2132853.43495419,2455.37508331633,0
450.5,2135342.19311593,2455.35052444833,0
450.75,2137830.53026799,2455.32596581986,0
451,2140318.43874315,2455.30140743092,0
451.25,2142805.91087949,2455.2768492815,0
451.5,2145292.93902049,2455.25229137162,0
451.75,2147779.51551518,2455.22773370125,0
452,2150265.63271818,2455.20317627042,0
452.25,2152751.28298978,2455.1786190791,0
452.5,2155236.45869606,2455.15406212731,0
452.75,2157721.152209,2455.12950541503,0
453,2160205.35590657,2455.10494894228,0
453.25,2162689.06217277,2455.08039270904,0
453.5,2165172.26339774,2455.05583671532,0
453.75,2167654.95197791,2455.03128096112,0
454,2170137.12031607,2455.00672544643,0
454.25,2172618.7608214,2454.98217017125,0
454.5,2175099.8659096,2454.95761513559,0
454.75,2177580.42800303,2454.93306033944,0
455,2180060.43953075,2454.90850578281,0
455.25,2182539.8929286,2454.88395146568,0
455.5,2185018.78063931,2454.85939738806,0
455.75,2187497.0951126,2454.83484354995,0
456,2189974.8288053,2454.81028995135,0
456.25,2192451.97418136,2454.78573659226,0
456.5,2194928.52371197,2454.76118347267,0
456.75,2197404.46987571,2454.73663059259,0
457,2199879.80515859,2454.71207795201,0
457.25,2202354.52205412,2454.68752555093,0
457.5,2204828.61306341,2454.66297338936,0
457.75,2207302.07069532,2454.63842146729,0
458,2209774.88746649,2454.61386978472,0
458.25,2212247.05590142,2454.58931834166,0
458.5,2214718.56853257,2454.56476713809,0
458.75,2217189.41790051,2454.54021617402,0
459,2219659.59655393,2454.51566544945,0
459.25,2222129.09704974,2454.49111496438,0
459.5,2224597.91195318,2454.46656471881,0
459.75,2227066.03383792,2454.44201471274,0
460,2229533.45528614,2454.41746494616,0
460.25,2232000.16888855,2454.39291541907,0
460.5,2234466.16724457,2454.36836613149,0
460.75,2236931.44296238,2454.34381708339,0
461,2239395.98865903,2454.3192682748,0
461.25,2241859.79696045,2454.29471970569,0
461.5,2244322.86050162,2454.27017137608,0
461.75,2246785.17192662,2454.24562328596,0
462,2249246.72388873,2454.22107543534,0
462.25,2251707.50905051,2454.19652782421,0
462.5,2254167.52008383,2454.17198045257,0
462.75,2256626.74967008,2454.14743332042,0
463,2259085.19050016,2454.12288642776,0
463.25,2261542.83527455,2454.09833977459,0
463.5,2263999.67670345,2454.07379336092,0
463.75,2266455.70750686,2454.04924718673,0
464,2268910.92041465,2454.02470125203,0
464.25,2271365.30816661,2454.00015555683,0
464.5,2273818.86351258,2453.97561010111,0
464.75,2276271.57921253,2453.95106488488,0
465,2278723.44803663,2453.92651990814,0
465.25,2281174.46276532,2453.90197517089,0
465.5,2283624.61618939,2453.87743067313,0
465.75,2286073.90111011,2453.85288641486,0
466,2288522.31033927,2453.82834239607,0
466.25,2290969.83669926,2453.80379861678,0
466.5,2293416.47302316,2453.77925507697,0
466.75,2295862.21215484,2453.75471177665,0
467,2298307.04694901,2453.73016871582,0
467.25,2300750.97027131,2453.70562589447,0
467.5,2303193.97499839,2453.68108331262,0
467.75,2305636.05401801,2453.65654097025,0
468,2308077.2002291,2453.63199886737,0
468.25,2310517.40654183,2453.60745700398,0
468.5,2312956.66587769,2453.58291538007,0
468.75,2315394.9711696,2453.55837399566,0
469,2317832.31536199,2453.53383285073,0
469.25,2320268.6914108,2453.50929194529,0
469.5,2322704.09228363,2453.48475127934,0
469.75,2325138.51095984,2453.46021085287,0
470,2327571.94043055,2453.4356706659,0
470.25,2330004.37369876,2453.41113071841,0
470.5,2332435.80377941,2453.38659101042,0
470.75,2334866.22369951,2453.36205154191,0
471,2337295.62649814,2453.33751231289,0
471.25,2339724.00522657,2453.31297332336,0
471.5,2342151.3529483,2453.28843457332,0
471.75,2344577.66273919,2453.26389606277,0
472,2347002.92768752,2453.23935779172,0
472.25,2349427.140894,2453.21481976015,0
472.5,2351850.29547191,2453.19028196807,0
472.75,2354272.38454717,2453.16574441548,0
473,2356693.40125841,2453.14120710239,0
473.25,2359113.33875702,2453.11667002879,0
473.5,2361532.1902072,2453.09213319468,0
473.75,2363949.94878613,2453.06759660006,0
474,2366366.60768397,2453.04306024494,0
474.25,2368782.1601039,2453.01852412931,0
474.5,2371196.59926227,2452.99398825317,0
474.75,2373609.91838862,2452.96945261653,0
475,2376022.1107258,2452.94491721938,0
475.25,2378433.16952998,2452.92038206173,0
475.5,2380843.08807072,2452.89584714358,0
475.75,2383251.85963112,2452.87131246492,0
476,2385659.47750783,2452.84677802576,0
476.25,2388065.9350111,2452.82224382609,0
476.5,2390471.22546488,2452.79770986593,0
476.75,2392875.3422069,2452.77317614526,0
477,2395278.27858872,2452.74864266409,0
477.25,2397680.02797579,2452.72410942242,0
477.5,2400080.58374753,2452.69957642026,0
477.75,2402479.93929741,2452.67504365759,0
478,2404878.08803299,2452.65051113443,0
478.25,2407275.02337599,2452.62597885077,0
478.5,2409670.73876238,2452.60144680661,0
478.75,2412065.22764242,2452.57691500196,0
479,2414458.48348076,2452.55238343681,0
479.25,2416850.49975645,2452.52785211117,0
479.5,2419241.26996304,2452.50332102503,0
479.75,2421630.78760866,2452.4787901784,0
480,2424019.04621607,2452.45425957128,0
480.25,2426406.0393227,2452.42972920367,0
480.5,2428791.76048072,2452.40519907556,0
480.75,2431176.20325713,2452.38066918697,0
481,2433559.36123384,2452.35613953789,0
481.25,2435941.22800765,2452.33161012832,0
